name,blood_group,latitude,longitude,availability,donation_count,Gender,last_donated,next_eligible,role,eligibility_status,password,contact,password
Nitara Bath,O Positive,17.3922792,78.4602749,Active,9,Male,2024-11-15,2025-02-13,Emergency Donor,not eligible,123456,6123456823,123
Anahi Edwin,B Positive,17.3922792,78.4602749,Inactive,1,Male,2020-06-12,2020-09-10,Emergency Donor,not eligible,123456,6123456824,123
Vihaan Bajwa,O Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456825,123
Vidur Dugar,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2025-01-28,2025-04-28,Emergency Donor,eligible,123456,6123456826,123
Emir Zacharia,A Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,not eligible,123456,6123456827,123
Yuvraj  Baral,O Positive,17.3922792,78.4602749,Inactive,3,Female,2024-12-23,2025-04-22,Emergency Donor,not eligible,123456,6123456828,123
Indrajit Saini,B Positive,17.3877306,78.4764393,Active,,Female,,,Emergency Donor,not eligible,123456,6123456829,123
Lakshit Issac,O Positive,17.3922792,78.4602749,Inactive,2,Male,2020-11-14,2021-02-12,Emergency Donor,not eligible,123456,6123456830,123
Emir Gera,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2020-06-17,2020-09-15,Emergency Donor,eligible,123456,6123456831,123
Miraan Sachar,O Positive,17.3922792,78.4602749,Active,7,Male,2025-03-06,2025-06-04,Bridge Donor,eligible,123456,6123456832,123
Samaira Dhawan,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2021-11-04,2022-02-02,Emergency Donor,eligible,123456,6123456833,123
Hridaan Savant,A Positive,17.3922792,78.4602749,Active,9,Male,2025-06-15,2025-09-13,Bridge Donor,not eligible,123456,6123456834,123
Riaan Khare,A Positive,17.3922792,78.4602749,Inactive,1,Female,2022-03-26,2022-07-24,Bridge Donor,eligible,123456,6123456835,123
Sumer Chacko,A Positive,17.3922792,78.4602749,Inactive,2,Male,2020-11-17,2021-02-15,Emergency Donor,not eligible,123456,6123456836,123
Saksham Sampath,O Positive,17.3922792,78.4602749,Active,7,Male,2025-05-26,2025-08-24,Bridge Donor,not eligible,123456,6123456837,123
Sumer Jani,AB Positive,17.3877306,78.4764393,Active,,Female,,,Emergency Donor,eligible,123456,6123456838,123
Anya Master,A Negative,17.3922792,78.4602749,Inactive,3,Male,2021-04-28,2021-07-27,Emergency Donor,eligible,123456,6123456839,123
Shayak Sankaran,AB Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456840,123
Zoya Shukla,B Positive,17.3922792,78.4602749,Active,6,Male,2025-04-27,2025-07-26,Bridge Donor,eligible,123456,6123456841,123
Neysa Bajaj,A Positive,17.3922792,78.4602749,Inactive,2,Male,2024-08-13,2024-11-11,Emergency Donor,not eligible,123456,6123456842,123
Ishita Krish,O Positive,17.3922792,78.4602749,Inactive,1,Female,2020-12-15,2021-04-14,Emergency Donor,eligible,123456,6123456843,123
Kaira Bhatnagar,O Positive,17.3922792,78.4602749,Active,8,Male,2025-08-13,2025-11-11,Bridge Donor,not eligible,123456,6123456844,123
Priyansh Borde,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,eligible,123456,6123456845,123
Drishya Verma,O Positive,17.3922792,78.4602749,Active,8,Male,2025-05-01,2025-07-30,Bridge Donor,eligible,123456,6123456846,123
Saksham Khalsa,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2020-07-18,2020-10-16,Bridge Donor,eligible,123456,6123456847,123
Hiran Sani,B Positive,17.3922792,78.4602749,Active,6,Male,2025-04-08,2025-07-07,Bridge Donor,eligible,123456,6123456848,123
Aayush Gokhale,B Positive,17.3922792,78.4602749,Active,1,Male,2025-08-14,2025-11-12,Bridge Donor,not eligible,123456,6123456849,123
Anika Sarkar,O Positive,17.3922792,78.4602749,Inactive,6,Male,2024-04-11,2024-07-10,Bridge Donor,eligible,123456,6123456850,123
Hrishita Devi,O Positive,17.3922792,78.4602749,Active,10,Male,2025-04-19,2025-07-18,Bridge Donor,eligible,123456,6123456851,123
Mamooty Rattan,B Positive,17.3922792,78.4602749,Active,4,Male,2024-11-25,2025-02-23,Bridge Donor,eligible,123456,6123456852,123
Saira Gour,O Negative,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456853,123
Saanvi Tiwari,AB Positive,17.3922792,78.4602749,Active,3,Male,2025-02-18,2025-05-19,Bridge Donor,eligible,123456,6123456854,123
Veer Bhat,AB Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,eligible,123456,6123456855,123
Biju Aggarwal,O Positive,17.3922792,78.4602749,Inactive,4,Male,2024-05-23,2024-08-21,Emergency Donor,eligible,123456,6123456856,123
Jivin Upadhyay,O Negative,17.3922792,78.4602749,Inactive,1,Male,2020-08-08,2020-11-06,Bridge Donor,eligible,123456,6123456857,123
Veer Kala,A Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456858,123
Dhruv Hari,B Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456859,123
Lagan Edwin,A Positive,17.3922792,78.4602749,Inactive,1,Male,2021-04-02,2021-07-01,Emergency Donor,not eligible,123456,6123456860,123
Pari Krishna,,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,eligible,123456,6123456861,123
Ritvik Verma,AB Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456862,123
Jivika Sani,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-07-18,2020-10-16,Emergency Donor,eligible,123456,6123456863,123
Rania Barman,A Positive,17.3922792,78.4602749,Active,3,Male,2025-04-26,2025-07-25,Bridge Donor,eligible,123456,6123456864,123
Divij Majumdar,O Positive,17.3922792,78.4602749,Inactive,5,Male,2023-11-11,2024-02-09,Bridge Donor,eligible,123456,6123456865,123
Nayantara Gupta,O Positive,17.3922792,78.4602749,Inactive,3,Male,2021-08-30,2021-11-28,Emergency Donor,eligible,123456,6123456866,123
Nitara Dhawan,B Positive,17.3922792,78.4602749,Active,4,Male,2025-01-23,2025-09-01,Bridge Donor,not eligible,123456,6123456867,123
Dhruv Borra,O Positive,17.3922792,78.4602749,Inactive,6,Male,2022-03-14,2022-06-12,Bridge Donor,eligible,123456,6123456868,123
Chirag Kohli,AB Positive,17.3922792,78.4602749,Active,4,Male,2025-07-26,2025-10-24,Bridge Donor,not eligible,123456,6123456869,123
Ryan Thaman,B Positive,17.3922792,78.4602749,Inactive,1,Male,2020-07-25,2020-10-23,Emergency Donor,eligible,123456,6123456870,123
Aarush Krishnamurthy,O Positive,17.3922792,78.4602749,Inactive,3,Female,2021-04-25,2021-08-23,Volunteer,eligible,123456,6123456871,123
Anaya Shere,O Positive,17.3922792,78.4602749,Inactive,3,Female,2021-04-25,2021-08-23,Volunteer,eligible,123456,6123456872,123
Khushi Chaudhari,O Positive,17.3922792,78.4602749,Inactive,3,Female,2021-04-25,2021-08-23,Bridge Donor,eligible,123456,6123456873,123
Romil Sama,B Positive,17.3922792,78.4602749,Inactive,1,Male,2020-07-24,2020-10-22,Emergency Donor,eligible,123456,6123456874,123
Samarth Upadhyay,O Positive,17.3922792,78.4602749,Active,8,Male,2025-05-05,2025-08-03,Bridge Donor,eligible,123456,6123456875,123
Keya Chokshi,O Positive,17.3922792,78.4602749,Active,6,Male,2024-08-18,2024-11-16,Bridge Donor,eligible,123456,6123456876,123
Mohanlal Sarna,O Positive,17.3922792,78.4602749,Inactive,3,Male,2024-07-25,2024-10-23,Emergency Donor,eligible,123456,6123456877,123
Ehsaan Srinivasan,O Positive,17.3922792,78.4602749,Inactive,5,Male,2024-02-01,2024-05-01,Bridge Donor,eligible,123456,6123456878,123
Vardaniya Tella,A Positive,17.3922792,78.4602749,Active,9,Male,2025-06-21,2025-09-19,Bridge Donor,not eligible,123456,6123456879,123
Eshani Dutta,B Positive,17.3922792,78.4602749,Inactive,2,Female,2021-01-22,2021-05-22,Emergency Donor,not eligible,123456,6123456880,123
Shaan Dhar,B Positive,17.3922792,78.4602749,Inactive,2,Male,2021-08-03,2021-11-01,Emergency Donor,not eligible,123456,6123456881,123
Ivana Tella,A Positive,17.3922792,78.4602749,Active,8,Male,2025-06-21,2025-09-19,Bridge Donor,not eligible,123456,6123456882,123
Neelofar Kapur,A Positive,17.3922792,78.4602749,Active,9,Female,2025-07-08,2025-11-05,Bridge Donor,not eligible,123456,6123456883,123
Himmat Yogi,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,not eligible,123456,6123456884,123
Hunar Dua,A Positive,17.3922792,78.4602749,Inactive,2,Male,2022-01-01,2022-04-01,Emergency Donor,not eligible,123456,6123456885,123
Himmat Kari,A Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456886,123
Hazel Kara,B Positive,17.3922792,78.4602749,Active,7,Male,2024-11-13,2025-02-11,Bridge Donor,eligible,123456,6123456887,123
Aaina Malhotra,O Negative,17.3922792,78.4602749,Inactive,4,Male,2023-12-17,2024-03-16,Bridge Donor,eligible,123456,6123456888,123
Jiya Master,B Positive,17.3922792,78.4602749,Inactive,3,Male,2021-06-02,2021-08-31,Bridge Donor,eligible,123456,6123456889,123
Shray Subramanian,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-06,2021-01-04,Emergency Donor,not eligible,123456,6123456890,123
Yashvi Bhagat,AB Positive,17.3922792,78.4602749,Inactive,2,Male,2025-05-04,2025-08-02,Emergency Donor,eligible,123456,6123456891,123
Anvi Seshadri,AB Positive,17.3922792,78.4602749,Inactive,3,Male,2024-07-17,2024-10-15,Bridge Donor,eligible,123456,6123456892,123
Samiha Bhasin,B Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,not eligible,123456,6123456893,123
Tarini Bala,B Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-04,2020-11-02,Emergency Donor,not eligible,123456,6123456894,123
Yashvi Dutt,A Positive,17.3922792,78.4602749,Active,6,Male,2025-04-19,2025-07-18,Bridge Donor,eligible,123456,6123456895,123
Chirag Chahal,AB Negative,17.3922792,78.4602749,Active,3,Male,2025-03-01,2025-05-30,Emergency Donor,eligible,123456,6123456896,123
Mohanlal Soman,O Positive,17.3922792,78.4602749,Inactive,6,Male,2024-04-12,2024-07-11,Emergency Donor,not eligible,123456,6123456897,123
Pranay Ben,B Positive,17.3922792,78.4602749,Inactive,2,Male,2025-02-22,2025-05-23,Emergency Donor,not eligible,123456,6123456898,123
Taran Cheema,AB Negative,17.3922792,78.4602749,Active,3,Male,2025-03-01,2025-05-30,Emergency Donor,eligible,123456,6123456899,123
Advik Batta,O Positive,17.3922792,78.4602749,Inactive,5,Male,2024-03-01,2024-05-30,Bridge Donor,eligible,123456,6123456900,123
Ranbir Gandhi,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-11,2020-11-09,Emergency Donor,not eligible,123456,6123456901,123
Taran Lad,AB Positive,17.3922792,78.4602749,Inactive,2,Male,2020-12-13,2021-03-13,Emergency Donor,eligible,123456,6123456902,123
Kaira Golla,B Positive,17.3877306,78.4764393,Inactive,1,Female,2020-08-13,2020-12-11,Emergency Donor,not eligible,123456,6123456903,123
Madhav Borde,B Positive,17.3922792,78.4602749,Active,3,Male,2025-02-13,2025-05-14,Bridge Donor,eligible,123456,6123456904,123
Charvi Kohli,A Positive,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,not eligible,123456,6123456905,123
Samarth Sane,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,not eligible,123456,6123456906,123
Riaan Lalla,B Positive,17.3922792,78.4602749,Inactive,2,Male,2020-12-27,2021-03-27,Emergency Donor,not eligible,123456,6123456907,123
Rohan Krishnamurthy,O Positive,17.3922792,78.4602749,Active,4,Male,2025-01-17,2025-04-17,Bridge Donor,eligible,123456,6123456908,123
Tejas Shroff,B Positive,17.3922792,78.4602749,Inactive,3,Male,2024-07-02,2024-09-30,Emergency Donor,not eligible,123456,6123456909,123
Madhup Batra,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,not eligible,123456,6123456910,123
Veer Swamy,B Positive,17.3922792,78.4602749,Inactive,2,Male,2023-02-19,2023-05-20,Bridge Donor,eligible,123456,6123456911,123
Nitya Dube,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-14,2020-11-12,Emergency Donor,not eligible,123456,6123456912,123
Raunak Handa,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,eligible,123456,6123456913,123
Kiaan Rout,AB Negative,17.3922792,78.4602749,Active,2,Male,2025-05-23,2025-08-21,Bridge Donor,not eligible,123456,6123456914,123
Tushar Kakar,O Positive,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,not eligible,123456,6123456915,123
Ryan Raval,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-23,2020-11-21,Emergency Donor,not eligible,123456,6123456916,123
Samaira Sunder,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-24,2020-11-22,Emergency Donor,not eligible,123456,6123456917,123
Samiha Sandal,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-25,2020-11-23,Emergency Donor,eligible,123456,6123456918,123
Urvi Lall,B Negative,17.3877306,78.4764393,Active,2,Male,2025-07-18,2025-10-16,Bridge Donor,not eligible,123456,6123456919,123
Raunak Dass,O Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456920,123
Saanvi Biswas,A Positive,17.3922792,78.4602749,Inactive,3,Male,2021-03-29,2021-06-27,Emergency Donor,not eligible,123456,6123456921,123
Veer Krishna,A Positive,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,not eligible,123456,6123456922,123
Kiara Ganesan,A Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,not eligible,123456,6123456923,123
Priyansh Brar,B Negative,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,eligible,123456,6123456924,123
Raghav Chahal,O Positive,17.3922792,78.4602749,Inactive,2,Male,2023-09-20,2025-09-01,Bridge Donor,not eligible,123456,6123456925,123
Ira Lalla,B Positive,17.3922792,78.4602749,Inactive,5,Male,2023-12-01,2024-02-29,Bridge Donor,eligible,123456,6123456926,123
Adah Upadhyay,O Positive,17.3922792,78.4602749,Inactive,1,Female,2020-08-29,2020-12-27,Emergency Donor,eligible,123456,6123456927,123
Tejas Mall,B Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-29,2020-11-27,Emergency Donor,not eligible,123456,6123456928,123
Azad Ganguly,B Positive,17.3922792,78.4602749,Active,2,Male,2025-03-29,2025-10-01,Bridge Donor,not eligible,123456,6123456929,123
Azad Dhingra,B Negative,21.1523552,79.0692636,Inactive,1,Male,2021-03-14,2021-06-12,Bridge Donor,eligible,123456,6123456930,123
Anahita Yohannan,B Positive,17.3922792,78.4602749,Inactive,4,Male,2024-12-14,2025-03-14,Emergency Donor,eligible,123456,6123456931,123
Abram Agarwal,O Positive,17.3922792,78.4602749,Inactive,4,Male,2025-03-27,2025-06-25,Bridge Donor,eligible,123456,6123456932,123
Kimaya Vaidya,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-09-01,2020-11-30,Bridge Donor,eligible,123456,6123456933,123
Lakshit Chatterjee,A Positive,17.3922792,78.4602749,Active,8,Male,2024-12-15,2026-01-31,Bridge Donor,not eligible,123456,6123456934,123
Kashvi Dayal,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-09-06,2020-12-05,Emergency Donor,eligible,123456,6123456935,123
Zain Sethi,A Positive,17.3922792,78.4602749,Active,12,Male,2025-06-10,2025-09-08,Bridge Donor,not eligible,123456,6123456936,123
Ivana Bansal,O Positive,17.3877306,78.4764393,Inactive,1,Male,2020-09-07,2020-12-06,Emergency Donor,not eligible,123456,6123456937,123
Sahil Chand,B Positive,17.3877306,78.4764393,Inactive,1,Male,2020-09-08,2020-12-07,Emergency Donor,eligible,123456,6123456938,123
Emir Saxena,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2020-09-11,2020-12-10,Emergency Donor,eligible,123456,6123456939,123
Farhan Dutta,AB Positive,17.3922792,78.4602749,Inactive,2,Male,2021-11-26,2022-02-24,Emergency Donor,eligible,123456,6123456940,123
Tarini Chaudhari,O Positive,17.3922792,78.4602749,Inactive,4,Male,2024-04-17,2024-07-16,Emergency Donor,not eligible,123456,6123456941,123
Rohan Sen,A Negative,17.3922792,78.4602749,Inactive,1,Male,2020-09-18,2020-12-17,Emergency Donor,eligible,123456,6123456942,123
Tejas Rao,A Positive,17.3922792,78.4602749,Inactive,3,Male,2024-04-11,2024-07-10,Emergency Donor,not eligible,123456,6123456943,123
Ishaan Bawa,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-09-20,2020-12-19,Emergency Donor,not eligible,123456,6123456944,123
Veer Saxena,O Positive,17.3922792,78.4602749,Inactive,3,Male,2024-06-26,2024-09-24,Emergency Donor,not eligible,123456,6123456945,123
Tiya Sarkar,B Positive,17.3922792,78.4602749,Active,5,Male,2024-12-16,2025-03-16,Emergency Donor,eligible,123456,6123456946,123
Tarini Mahajan,B Positive,17.3922792,78.4602749,Inactive,3,Male,2024-06-30,2024-09-28,Emergency Donor,eligible,123456,6123456947,123
Jayesh Keer,O Negative,17.3922792,78.4602749,Inactive,2,Male,2023-11-26,2024-02-24,Emergency Donor,eligible,123456,6123456948,123
Ojas Kumar,B Positive,17.3877306,78.4764393,Inactive,1,Male,2020-09-30,2020-12-29,Emergency Donor,eligible,123456,6123456949,123
Kaira Kannan,O Positive,17.3922792,78.4602749,Inactive,2,Female,2021-10-02,2022-01-30,Bridge Donor,eligible,123456,6123456950,123
Aarna Bir,O Positive,17.3922792,78.4602749,Inactive,3,Male,2024-10-07,2025-01-05,Bridge Donor,eligible,123456,6123456951,123
Yasmin Sen,B Positive,17.3922792,78.4602749,Active,4,Male,2025-04-02,2025-07-01,Emergency Donor,eligible,123456,6123456952,123
Madhav Sachar,O Positive,17.3922792,78.4602749,Active,4,Male,2025-07-14,2025-10-12,Bridge Donor,not eligible,123456,6123456953,123
Jayan Ganesan,,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456954,123
Zeeshan Gulati,B Positive,17.3877306,78.4764393,Active,5,Male,2025-03-30,2025-06-28,Bridge Donor,eligible,123456,6123456955,123
Kartik Sabharwal,B Positive,17.3922792,78.4602749,Inactive,4,Male,2021-10-23,2022-01-21,Emergency Donor,eligible,123456,6123456956,123
Keya Sarin,B Positive,17.3922792,78.4602749,Active,9,Male,2025-08-09,2025-11-07,Bridge Donor,not eligible,123456,6123456957,123
Oorja Tak,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-04,2021-01-02,Emergency Donor,not eligible,123456,6123456958,123
Raghav Bhat,B Positive,17.3922792,78.4602749,Inactive,2,Female,2021-05-25,2021-09-22,Volunteer,eligible,123456,6123456959,123
Purab Acharya,B Positive,17.3922792,78.4602749,Inactive,2,Female,2021-05-25,2021-09-22,Emergency Donor,eligible,123456,6123456960,123
Tarini Soman,B Positive,17.3922792,78.4602749,Active,4,Male,2025-07-18,2025-10-16,Bridge Donor,not eligible,123456,6123456961,123
Indrans Bhatti,B Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456962,123
Ishaan Sami,O Positive,17.3922792,78.4602749,Active,5,Male,2025-03-20,2025-06-18,Emergency Donor,not eligible,123456,6123456963,123
Pihu Basu,O Positive,17.3922792,78.4602749,Active,4,Male,2025-03-28,2025-06-26,Emergency Donor,not eligible,123456,6123456964,123
Mamooty Kapur,O Positive,17.3922792,78.4602749,Inactive,3,Male,2024-04-22,2024-07-21,Emergency Donor,not eligible,123456,6123456965,123
Yasmin Ravi,B Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-05,2021-01-03,Emergency Donor,eligible,123456,6123456966,123
Onkar Das,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-02,2020-12-31,Bridge Donor,eligible,123456,6123456967,123
Kiara Guha,O Negative,17.3922792,78.4602749,Inactive,1,Male,2020-10-04,2021-01-02,Emergency Donor,eligible,123456,6123456968,123
Arnav Sachar,A Positive,17.3922792,78.4602749,Active,4,Male,2024-12-28,2025-03-28,Emergency Donor,not eligible,123456,6123456969,123
Gatik Dave,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,eligible,123456,6123456970,123
Kabir Bhatt,A Negative,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456971,123
Indranil Rana,O Positive,17.3922792,78.4602749,Active,3,Male,2025-03-28,2025-06-26,Emergency Donor,eligible,123456,6123456972,123
Hazel Taneja,O Positive,17.3877306,78.4764393,Active,,Male,,,Emergency Donor,eligible,123456,6123456973,123
Anvi Deshpande,B Positive,17.3922792,78.4602749,Active,4,Male,2025-06-22,2025-09-20,Bridge Donor,not eligible,123456,6123456974,123
Mahika Sampath,AB Positive,17.3922792,78.4602749,Active,4,Male,2025-06-19,2025-09-17,Bridge Donor,not eligible,123456,6123456975,123
Rati Varughese,O Positive,17.3922792,78.4602749,Inactive,4,Male,2021-12-23,2022-03-23,Bridge Donor,eligible,123456,6123456976,123
Manikya Ghose,B Positive,17.3922792,78.4602749,Active,5,Male,2025-05-20,2025-08-18,Bridge Donor,eligible,123456,6123456977,123
Pihu Khalsa,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-15,2021-01-13,Emergency Donor,eligible,123456,6123456978,123
Zaina Varma,O Positive,17.3922792,78.4602749,Inactive,2,Female,2021-03-11,2021-07-09,Bridge Donor,eligible,123456,6123456979,123
Chirag Desai,B Positive,17.3922792,78.4602749,Inactive,2,Female,2021-02-25,2021-06-25,Emergency Donor,not eligible,123456,6123456980,123
Mehul Buch,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-17,2021-01-15,Emergency Donor,not eligible,123456,6123456981,123
Riaan Shan,O Positive,17.3922792,78.4602749,Inactive,4,Male,2024-05-23,2024-08-21,Emergency Donor,eligible,123456,6123456982,123
Ritvik Acharya,O Positive,17.3922792,78.4602749,Active,7,Male,2025-06-08,2025-09-06,Bridge Donor,not eligible,123456,6123456983,123
Advika Jhaveri,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-22,2021-01-20,Emergency Donor,eligible,123456,6123456984,123
Nayantara Batta,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2020-10-22,2021-01-20,Emergency Donor,eligible,123456,6123456985,123
Ojas Gala,O Positive,17.3922792,78.4602749,Inactive,3,Male,2021-09-04,2021-12-03,Emergency Donor,eligible,123456,6123456986,123
Bhamini Aggarwal,O Positive,17.3922792,78.4602749,Inactive,2,Male,2021-01-30,2021-04-30,Emergency Donor,eligible,123456,6123456987,123
Anahi Karnik,O Positive,17.3922792,78.4602749,Inactive,2,Male,2021-04-17,2021-07-16,Emergency Donor,eligible,123456,6123456988,123
Jivin Reddy,AB Positive,17.3922792,78.4602749,Inactive,1,Male,2025-01-03,2025-04-03,Emergency Donor,eligible,123456,6123456989,123
